PINCODE,CITY NAME,STATE
110001,DELHI,Delhi
110002,DELHI,Delhi
110003,DELHI,Delhi
110004,DELHI,Delhi
121002,FARIDABAD,Haryana
121003,FARIDABAD,Haryana
121006,FARIDABAD,Haryana
121007,FARIDABAD,Haryana
121008,FARIDABAD,Haryana
134108,PANCHKULA,Chandigarh
134109,PANCHKULA,Chandigarh
140105,PANCHKULA,Punjab
140603,PANCHKULA,Punjab
141001,LUDHIANA,Punjab
141002,LUDHIANA,Punjab
141003,LUDHIANA,Punjab
160001,CHANDIGARH,Chandigarh
160002,CHANDIGARH,Chandigarh
160003,CHANDIGARH,Chandigarh
160004,CHANDIGARH,Chandigarh
160005,CHANDIGARH,Chandigarh
160102,CHANDIGARH,Chandigarh
160106,CHANDIGARH,Chandigarh
201001,GHAZIABAD,Uttar Pradesh
201002,GHAZIABAD,Uttar Pradesh
282004,AGRA,Uttar Pradesh
282006,AGRA,Uttar Pradesh
282007,AGRA,Uttar Pradesh
282008,AGRA,Uttar Pradesh
282009,AGRA,Uttar Pradesh
282010,AGRA,Uttar Pradesh
302001,JAIPUR,Rajasthan
302002,JAIPUR,Rajasthan
302023,JAIPUR,Rajasthan
302024,JAIPUR,Rajasthan
302025,JAIPUR,Rajasthan
302033,JAIPUR,Rajasthan
380001,AHMEDABAD,Gujarat
380002,AHMEDABAD,Gujarat
380003,AHMEDABAD,Gujarat
380004,AHMEDABAD,Gujarat
395017,SURAT,Gujarat
395023,SURAT,Gujarat
400001,MUMBAI,Maharashtra
400002,MUMBAI,Maharashtra
400003,MUMBAI,Maharashtra
411060,PUNE,Maharashtra
411061,PUNE,Maharashtra
411062,PUNE,Maharashtra
412207,WAGHOLI,Maharashtra
412307,PUNE,Maharashtra
412308,PUNE,Maharashtra
421005,MUMBAI,Maharashtra
421201,MUMBAI,Maharashtra
421202,MUMBAI,Maharashtra
421203,MUMBAI,Maharashtra
421204,MUMBAI,Maharashtra
452001,INDORE,Madhya Pradesh
452002,INDORE,Madhya Pradesh
452015,INDORE,Madhya Pradesh
452017,INDORE,Madhya Pradesh
452018,INDORE,Madhya Pradesh
500002,HYDERABAD,Telangana
500003,HYDERABAD,Telangana
500005,HYDERABAD,Telangana
500097,HYDERABAD,Telangana
500098,HYDERABAD,Telangana
501505,HYDERABAD,Telangana
520001,VIJAYAWADA,Andhra Pradesh
520002,VIJAYAWADA,Andhra Pradesh
520003,VIJAYAWADA,Andhra Pradesh
530046,VISAKHAPATNAM,Andhra Pradesh
530047,PENDURTHI,Andhra Pradesh
560001,BENGALURU,Karnataka
560002,BENGALURU,Karnataka
560003,BENGALURU,Karnataka
560004,BENGALURU,Karnataka
